period,sex,allageesprate,allagestderr,allagelcli,allageucli,under75esprate,under75stderr,under75lcli,under75ucli,totdeaths
19964,P,1564.107924,6.126281386,1552.100413,1576.115436,677.0323866,3.889731762,669.4085124,684.6562609,60652
19971,F,1298.345032,7.009412849,1284.606583,1312.083481,504.6133462,4.587306384,495.6222257,513.6044667,31474
19971,M,1955.752308,11.92588877,1932.377566,1979.12705,860.2718312,6.465683472,847.5990916,872.9445708,28808
19971,P,1554.215987,6.100560357,1542.258889,1566.173086,667.8576137,3.865403305,660.2814232,675.4338042,60282
19972,F,1300.69929,7.010299007,1286.959104,1314.439476,508.3427207,4.604062093,499.318759,517.3666824,31586
19972,M,1946.975635,11.86381608,1923.722555,1970.228714,856.9734943,6.454812622,844.3220616,869.624927,28782
19972,P,1552.852106,6.089923449,1540.915856,1564.788356,668.476387,3.86795304,660.895199,676.0575749,60368
19973,F,1295.196938,6.987683719,1281.501078,1308.892798,502.079826,4.577683263,493.1075668,511.0520852,31471
19973,M,1917.534059,11.75037153,1894.50333,1940.564787,842.3538428,6.399558053,829.810709,854.8969766,28448
19973,P,1540.229234,6.059775779,1528.352073,1552.106394,658.5949123,3.840352825,651.0678208,666.1220038,59919
19974,F,1281.77831,6.945697541,1268.164743,1295.391877,492.7550313,4.533635665,483.8691054,501.6409572,31189
19974,M,1903.748148,11.6858456,1880.843891,1926.652406,838.027482,6.381486507,825.5197684,850.5351955,28304
19974,P,1527.020286,6.028472189,1515.204481,1538.836092,651.5479578,3.818794967,644.0631197,659.032796,59493
19981,F,1257.477303,6.885696374,1243.981338,1270.973268,489.0797698,4.515674739,480.2290473,497.9304923,30633
19981,M,1879.161965,11.58925645,1856.447023,1901.876908,827.0981335,6.338013069,814.6756278,839.5206391,28002
19981,P,1501.043629,5.975540817,1489.331569,1512.755689,644.5553067,3.797297968,637.1126027,651.9980108,58635
19982,F,1258.550869,6.875069177,1245.075734,1272.026005,482.1169335,4.482966429,473.3303193,490.9035477,30682
19982,M,1873.690184,11.54122149,1851.06939,1896.310979,820.3801089,6.304240736,808.0237971,832.7364208,27975
19982,P,1500.750025,5.964807795,1489.059002,1512.441049,638.0027219,3.775624845,630.6024972,645.4029466,58657
19983,F,1263.712218,6.880342543,1250.226746,1277.197689,484.93397,4.492962737,476.127763,493.7401769,30868
19983,M,1880.658518,11.51303854,1858.092963,1903.224074,830.2018244,6.334549577,817.7861073,842.6175416,28223
19983,P,1507.771904,5.967981325,1496.07466,1519.469147,644.3068104,3.791419446,636.8756283,651.7379925,59091
19984,F,1269.1613,6.886387236,1255.663981,1282.658619,486.9379464,4.502757617,478.1125415,495.7633513,31032
19984,M,1866.568697,11.43414127,1844.15778,1888.979614,825.3446611,6.311879998,812.9733763,837.7159459,28131
19984,P,1507.601832,5.959355722,1495.921495,1519.282169,643.2843097,3.787411821,635.8609825,650.7076368,59163
